id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,quote
1,Bitcoin,BTC,bitcoin,11697,2010-07-13T00:00:00.000Z,"mineable, pow, sha-256, store-of-value, state-channel, coinbase-ventures-portfolio, three-arrows-capital-portfolio, polychain-capital-portfolio, binance-labs-portfolio, blockchain-capital-portfolio, boostvc-portfolio, cms-holdings-portfolio, dcg-portfolio, dragonfly-capital-portfolio, electric-capital-portfolio, fabric-ventures-portfolio, framework-ventures-portfolio, galaxy-digital-portfolio, huobi-capital-portfolio, alameda-research-portfolio, a16z-portfolio, 1confirmation-portfolio, winklevoss-capital-portfolio, usv-portfolio, placeholder-ventures-portfolio, pantera-capital-portfolio, multicoin-capital-portfolio, paradigm-portfolio, bitcoin-ecosystem, ftx-bankruptcy-estate",21000000.0,19754687.0,19754687.0,N/A,"{'price': 58443.85151551074, 'volume_24h': 21200790036.06305, 'volume_change_24h': 35.7754, 'percent_change_1h': -0.41156102, 'percent_change_24h': -2.83515694, 'percent_change_7d': 6.31139728, 'percent_change_30d': -1.25722819, 'percent_change_60d': -9.34125907, 'percent_change_90d': -10.2967514, 'market_cap': 1154539993763.3904, 'market_cap_dominance': 56.8553, 'fully_diluted_market_cap': 1227320881825.73, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
1027,Ethereum,ETH,ethereum,9293,2015-08-07T00:00:00.000Z,"pos, smart-contracts, ethereum-ecosystem, coinbase-ventures-portfolio, three-arrows-capital-portfolio, polychain-capital-portfolio, binance-labs-portfolio, blockchain-capital-portfolio, boostvc-portfolio, cms-holdings-portfolio, dcg-portfolio, dragonfly-capital-portfolio, electric-capital-portfolio, fabric-ventures-portfolio, framework-ventures-portfolio, hashkey-capital-portfolio, kenetic-capital-portfolio, huobi-capital-portfolio, alameda-research-portfolio, a16z-portfolio, 1confirmation-portfolio, winklevoss-capital-portfolio, usv-portfolio, placeholder-ventures-portfolio, pantera-capital-portfolio, multicoin-capital-portfolio, paradigm-portfolio, layer-1, ftx-bankruptcy-estate",,120339716.02452113,120339716.02452113,N/A,"{'price': 2277.114906566871, 'volume_24h': 12228628692.938105, 'volume_change_24h': 58.4459, 'percent_change_1h': -0.70739592, 'percent_change_24h': -5.95382321, 'percent_change_7d': -1.20612676, 'percent_change_30d': -12.40515608, 'percent_change_60d': -33.17658877, 'percent_change_90d': -33.41494075, 'market_cap': 274027361211.4612, 'market_cap_dominance': 13.5062, 'fully_diluted_market_cap': 274027361211.46, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
825,Tether USDt,USDT,tether,97538,2015-02-25T00:00:00.000Z,"stablecoin, asset-backed-stablecoin, avalanche-ecosystem, solana-ecosystem, arbitrum-ecosytem, moonriver-ecosystem, injective-ecosystem, bnb-chain, usd-stablecoin, optimism-ecosystem, fiat-stablecoin",,118810537791.35384,120237807292.87524,Ethereum,"{'price': 0.9999780987250653, 'volume_24h': 37892645674.55864, 'volume_change_24h': 26.2057, 'percent_change_1h': -0.01166182, 'percent_change_24h': -0.02846704, 'percent_change_7d': -0.00179419, 'percent_change_30d': -0.03385798, 'percent_change_60d': -0.00334772, 'percent_change_90d': 0.01392662, 'market_cap': 118807935689.10052, 'market_cap_dominance': 5.8507, 'fully_diluted_market_cap': 120235173931.6, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
1839,BNB,BNB,bnb,2235,2017-07-25T00:00:00.000Z,"marketplace, centralized-exchange, payments, smart-contracts, alameda-research-portfolio, multicoin-capital-portfolio, bnb-chain, layer-1, sec-security-token, alleged-sec-securities, celsius-bankruptcy-estate",,145934011.84267306,145934011.84267306,N/A,"{'price': 544.2398914825993, 'volume_24h': 1637980758.9763722, 'volume_change_24h': 16.5478, 'percent_change_1h': -0.86355959, 'percent_change_24h': -1.95840353, 'percent_change_7d': 7.44592368, 'percent_change_30d': 4.31671145, 'percent_change_60d': -4.86899935, 'percent_change_90d': -8.07234445, 'market_cap': 79423110768.87675, 'market_cap_dominance': 3.9146, 'fully_diluted_market_cap': 79423110768.88, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
5426,Solana,SOL,solana,729,2020-04-10T00:00:00.000Z,"pos, platform, solana-ecosystem, cms-holdings-portfolio, kenetic-capital-portfolio, alameda-research-portfolio, multicoin-capital-portfolio, okx-ventures-portfolio, layer-1, ftx-bankruptcy-estate, sec-security-token, alleged-sec-securities, cmc-crypto-awards-2024",,468227726.2701607,584608462.4615592,N/A,"{'price': 130.24566393420994, 'volume_24h': 1508819629.0803065, 'volume_change_24h': 65.8128, 'percent_change_1h': -0.24946033, 'percent_change_24h': -5.30213289, 'percent_change_7d': 0.78629624, 'percent_change_30d': -6.85845738, 'percent_change_60d': -17.31486523, 'percent_change_90d': -3.04520441, 'market_cap': 60984631080.46259, 'market_cap_dominance': 3.0058, 'fully_diluted_market_cap': 76142717334.86, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
3408,USDC,USDC,usd-coin,22088,2018-10-08T00:00:00.000Z,"medium-of-exchange, stablecoin, asset-backed-stablecoin, coinbase-ventures-portfolio, solana-ecosystem, hedera-hashgraph-ecosystem, arbitrum-ecosytem, moonriver-ecosystem, bnb-chain, usd-stablecoin, optimism-ecosystem, base-ecosystem, fiat-stablecoin",,35706979150.18937,35706979150.18937,Ethereum,"{'price': 0.9998634453248029, 'volume_24h': 3975325546.062926, 'volume_change_24h': 36.5495, 'percent_change_1h': -0.01210022, 'percent_change_24h': -0.01172489, 'percent_change_7d': -0.01728537, 'percent_change_30d': -0.01486328, 'percent_change_60d': -0.01634356, 'percent_change_90d': -0.01772593, 'market_cap': 35702103195.249245, 'market_cap_dominance': 1.7597, 'fully_diluted_market_cap': 35702103195.25, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
52,XRP,XRP,xrp,1388,2013-08-04T00:00:00.000Z,"medium-of-exchange, enterprise-solutions, arrington-xrp-capital-portfolio, galaxy-digital-portfolio, a16z-portfolio, pantera-capital-portfolio, ftx-bankruptcy-estate",100000000000.0,56386022594.0,99987224458.0,N/A,"{'price': 0.5625675943306672, 'volume_24h': 856532783.4519371, 'volume_change_24h': -27.0321, 'percent_change_1h': -0.63796397, 'percent_change_24h': -4.9866615, 'percent_change_7d': 6.35236359, 'percent_change_30d': -0.30430665, 'percent_change_60d': -7.65748376, 'percent_change_90d': 15.44097255, 'market_cap': 31720949084.581226, 'market_cap_dominance': 1.5621, 'fully_diluted_market_cap': 56256759433.07, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
74,Dogecoin,DOGE,dogecoin,1064,2013-12-15T00:00:00.000Z,"mineable, pow, scrypt, medium-of-exchange, memes, payments, doggone-doggerel, bnb-chain, ftx-bankruptcy-estate",,145974246383.70526,145974246383.70526,N/A,"{'price': 0.10086093576361382, 'volume_24h': 481383451.3411196, 'volume_change_24h': 15.1938, 'percent_change_1h': -1.0211058, 'percent_change_24h': -4.72387139, 'percent_change_7d': 3.9889476, 'percent_change_30d': -0.29383343, 'percent_change_60d': -17.5548578, 'percent_change_90d': -15.77626459, 'market_cap': 14723099087.648834, 'market_cap_dominance': 0.7246, 'fully_diluted_market_cap': 14723099087.65, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
11419,Toncoin,TON,toncoin,554,2021-08-26T13:40:22.000Z,"pos, layer-1, ftx-bankruptcy-estate, dwf-labs-portfolio, toncoin-ecosystem",,2533029262.996992,5111874666.621809,N/A,"{'price': 5.459412167907132, 'volume_24h': 237272020.1806277, 'volume_change_24h': 19.3206, 'percent_change_1h': -0.92419836, 'percent_change_24h': -3.75468462, 'percent_change_7d': 10.72635741, 'percent_change_30d': -16.54379615, 'percent_change_60d': -23.47404441, 'percent_change_90d': -26.08765652, 'market_cap': 13828850780.070614, 'market_cap_dominance': 0.681, 'fully_diluted_market_cap': 27907830755.77, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
1958,TRON,TRX,tron,1033,2017-09-13T00:00:00.000Z,"media, payments, tron-ecosystem, layer-1, dwf-labs-portfolio, sec-security-token, alleged-sec-securities",,86695198736.9691,86695195274.11795,N/A,"{'price': 0.1480816413464598, 'volume_24h': 238272851.33593377, 'volume_change_24h': 13.737, 'percent_change_1h': -0.20728649, 'percent_change_24h': 0.39120961, 'percent_change_7d': -3.51872392, 'percent_change_30d': 10.59205593, 'percent_change_60d': 10.73093213, 'percent_change_90d': 29.48937178, 'market_cap': 12837967325.827911, 'market_cap_dominance': 0.6322, 'fully_diluted_market_cap': 12837966813.04, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
